household_id,building_id,estimated_population,estimated
hh_0086,bldg_0099,3,True
hh_0087,bldg_0101,3,True
hh_0088,bldg_0102,3,True
hh_0089,bldg_0103,4,True
hh_0090,bldg_0104,3,True
hh_0091,bldg_0105,3,True
hh_0092,bldg_0106,5,True
hh_0093,bldg_0107,3,True
hh_0094,bldg_0108,4,True
hh_0095,bldg_0111,4,True
hh_0096,bldg_0112,5,True
hh_0097,bldg_0113,5,True
hh_0098,bldg_0114,4,True
hh_0099,bldg_0115,5,True
hh_0100,bldg_0116,5,True
hh_0101,bldg_0117,5,True
hh_0102,bldg_0120,5,True
hh_0103,bldg_0122,4,True
hh_0104,bldg_0123,4,True
hh_0105,bldg_0124,4,True
hh_0106,bldg_0125,3,True
hh_0107,bldg_0127,3,True
hh_0108,bldg_0129,5,True
hh_0109,bldg_0131,5,True
hh_0110,bldg_0132,5,True
hh_0111,bldg_0133,4,True
hh_0112,bldg_0134,5,True
hh_0113,bldg_0135,3,True
hh_0114,bldg_0136,3,True
hh_0115,bldg_0137,3,True
hh_0116,bldg_0138,4,True
hh_0117,bldg_0139,3,True
hh_0118,bldg_0140,4,True
hh_0119,bldg_0141,4,True
hh_0120,bldg_0142,4,True
hh_0121,bldg_0144,5,True
hh_0122,bldg_0145,3,True
hh_0123,bldg_0148,4,True
hh_0124,bldg_0149,5,True
hh_0125,bldg_0150,5,True
hh_0126,bldg_0151,4,True
hh_0127,bldg_0152,4,True
hh_0128,bldg_0153,3,True
hh_0129,bldg_0155,5,True
hh_0130,bldg_0157,4,True
hh_0131,bldg_0158,5,True
hh_0132,bldg_0159,5,True
hh_0133,bldg_0161,5,True
hh_0134,bldg_0162,4,True
hh_0135,bldg_0164,3,True
hh_0136,bldg_0165,3,True
hh_0137,bldg_0167,3,True
hh_0138,bldg_0168,5,True
hh_0139,bldg_0169,5,True
hh_0140,bldg_0171,3,True
hh_0141,bldg_0173,3,True
hh_0142,bldg_0174,5,True
hh_0143,bldg_0175,3,True
hh_0144,bldg_0176,5,True
hh_0145,bldg_0177,3,True
hh_0146,bldg_0178,4,True
hh_0147,bldg_0179,3,True
hh_0148,bldg_0180,3,True
hh_0149,bldg_0181,5,True
hh_0150,bldg_0182,5,True
hh_0151,bldg_0183,3,True
hh_0152,bldg_0184,3,True
hh_0153,bldg_0185,5,True
hh_0154,bldg_0186,3,True
hh_0155,bldg_0187,3,True
hh_0156,bldg_0188,5,True
hh_0157,bldg_0189,3,True
hh_0158,bldg_0190,4,True
hh_0159,bldg_0191,4,True
hh_0160,bldg_0192,3,True
hh_0161,bldg_0193,4,True
hh_0162,bldg_0194,5,True
hh_0163,bldg_0195,5,True
hh_0164,bldg_0196,3,True
hh_0165,bldg_0197,3,True
hh_0166,bldg_0199,5,True
hh_0167,bldg_0200,5,True
hh_0168,bldg_0202,4,True
hh_0169,bldg_0203,4,True
hh_0170,bldg_0204,5,True
hh_0171,bldg_0206,4,True
hh_0172,bldg_0207,5,True
hh_0173,bldg_0208,3,True
hh_0174,bldg_0209,4,True
hh_0175,bldg_0210,3,True
hh_0176,bldg_0211,4,True
hh_0177,bldg_0212,3,True
hh_0178,bldg_0213,3,True
hh_0179,bldg_0214,5,True
hh_0180,bldg_0215,4,True
hh_0181,bldg_0216,5,True
hh_0182,bldg_0218,4,True
hh_0183,bldg_0219,3,True
hh_0184,bldg_0220,3,True
hh_0185,bldg_0221,5,True
hh_0186,bldg_0222,5,True
hh_0187,bldg_0223,4,True
hh_0188,bldg_0226,4,True
hh_0189,bldg_0227,4,True
hh_0190,bldg_0228,4,True
hh_0191,bldg_0229,5,True
hh_0192,bldg_0231,3,True
hh_0193,bldg_0232,3,True
hh_0194,bldg_0233,3,True
hh_0195,bldg_0234,5,True
hh_0196,bldg_0235,5,True
hh_0197,bldg_0237,3,True
hh_0198,bldg_0238,5,True
hh_0199,bldg_0239,4,True
hh_0200,bldg_0240,5,True
hh_0201,bldg_0241,4,True
hh_0202,bldg_0242,3,True
hh_0203,bldg_0243,5,True
hh_0204,bldg_0245,5,True
hh_0205,bldg_0246,3,True
hh_0206,bldg_0247,3,True
hh_0207,bldg_0248,5,True
hh_0208,bldg_0249,3,True
hh_0209,bldg_0250,4,True
hh_0210,bldg_0251,4,True
hh_0211,bldg_0252,4,True
hh_0212,bldg_0253,4,True
hh_0213,bldg_0254,4,True
hh_0214,bldg_0256,3,True
hh_0215,bldg_0257,3,True
hh_0216,bldg_0258,5,True
