household_id,building_id,estimated_population,estimated
hh_0151,bldg_0169,3,True
hh_0152,bldg_0170,5,True
hh_0153,bldg_0171,5,True
hh_0154,bldg_0172,4,True
hh_0155,bldg_0173,4,True
hh_0156,bldg_0174,5,True
hh_0157,bldg_0175,3,True
hh_0158,bldg_0176,5,True
hh_0159,bldg_0177,4,True
hh_0160,bldg_0178,5,True
hh_0161,bldg_0179,5,True
hh_0162,bldg_0180,5,True
hh_0163,bldg_0181,5,True
hh_0164,bldg_0182,5,True
hh_0165,bldg_0183,5,True
hh_0166,bldg_0184,4,True
hh_0167,bldg_0185,4,True
hh_0168,bldg_0188,3,True
hh_0169,bldg_0190,5,True
hh_0170,bldg_0191,3,True
hh_0171,bldg_0192,5,True
hh_0172,bldg_0193,3,True
hh_0173,bldg_0194,4,True
hh_0174,bldg_0195,4,True
hh_0175,bldg_0196,5,True
hh_0176,bldg_0197,4,True
hh_0177,bldg_0198,4,True
hh_0178,bldg_0199,3,True
hh_0179,bldg_0200,5,True
hh_0180,bldg_0201,3,True
hh_0181,bldg_0202,3,True
hh_0182,bldg_0203,5,True
hh_0183,bldg_0204,5,True
hh_0184,bldg_0205,5,True
hh_0185,bldg_0206,5,True
hh_0186,bldg_0207,4,True
hh_0187,bldg_0208,5,True
hh_0188,bldg_0209,4,True
hh_0189,bldg_0210,4,True
hh_0190,bldg_0211,3,True
hh_0191,bldg_0212,4,True
hh_0192,bldg_0213,4,True
hh_0193,bldg_0215,5,True
hh_0194,bldg_0216,3,True
hh_0195,bldg_0217,5,True
hh_0196,bldg_0218,5,True
hh_0197,bldg_0219,4,True
hh_0198,bldg_0220,3,True
hh_0199,bldg_0221,4,True
hh_0200,bldg_0222,5,True
hh_0201,bldg_0223,5,True
hh_0202,bldg_0224,3,True
hh_0203,bldg_0225,3,True
hh_0204,bldg_0226,3,True
hh_0205,bldg_0227,3,True
hh_0206,bldg_0228,4,True
hh_0207,bldg_0229,5,True
hh_0208,bldg_0230,5,True
hh_0209,bldg_0232,5,True
hh_0210,bldg_0233,5,True
hh_0211,bldg_0234,3,True
hh_0212,bldg_0235,5,True
hh_0213,bldg_0236,3,True
hh_0214,bldg_0237,3,True
hh_0215,bldg_0238,5,True
hh_0216,bldg_0239,5,True
hh_0217,bldg_0240,5,True
hh_0218,bldg_0241,3,True
hh_0219,bldg_0242,4,True
hh_0220,bldg_0243,3,True
hh_0221,bldg_0244,3,True
hh_0222,bldg_0245,5,True
hh_0223,bldg_0246,4,True
hh_0224,bldg_0247,5,True
hh_0225,bldg_0249,3,True
hh_0226,bldg_0250,5,True
hh_0227,bldg_0252,3,True
hh_0228,bldg_0253,5,True
hh_0229,bldg_0256,4,True
hh_0230,bldg_0257,3,True
hh_0231,bldg_0258,3,True
hh_0232,bldg_0259,5,True
hh_0233,bldg_0260,3,True
hh_0234,bldg_0261,4,True
hh_0235,bldg_0262,3,True
hh_0236,bldg_0263,3,True
hh_0237,bldg_0264,3,True
hh_0238,bldg_0265,4,True
hh_0239,bldg_0266,5,True
hh_0240,bldg_0267,5,True
hh_0241,bldg_0268,5,True
